DischQuarter,DischMonth,PrimaryCategory,CCS.CATEGORY.DESCRIPTION,totalCases,modeOfLOS,totalLOS,ALOS
1,1,Certain infectious and parasitic diseases,Bacterial infection; unspecified site,2,2,8,4
1,1,Certain infectious and parasitic diseases,Intestinal infection,7,2,18,2.57
1,1,Certain infectious and parasitic diseases,Septicemia (except in labor),3,4,25,8.33
1,1,Certain infectious and parasitic diseases,Viral infection,2,2,6,3
1,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation and hemorrhagic disorders,2,5,7,3.5
1,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,3,2,7,2.33
1,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other infections; including parasitic,1,1,1,1
1,1,Diseases of the circulatory system,Acute cerebrovascular disease,2,2,32,16
1,1,Diseases of the circulatory system,Acute myocardial infarction,5,1,20,4
1,1,Diseases of the circulatory system,Aortic; peripheral; and visceral artery aneurysms,1,10,10,10
1,1,Diseases of the circulatory system,Cardiac dysrhythmias,11,1,29,2.64
1,1,Diseases of the circulatory system,Conduction disorders,2,1,3,1.5
1,1,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,9,1,59,6.56
1,1,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,2,1,3,1.5
1,1,Diseases of the circulatory system,Heart valve disorders,1,3,3,3
1,1,Diseases of the circulatory system,Lymphadenitis,1,2,2,2
1,1,Diseases of the circulatory system,Other circulatory disease,2,1,3,1.5
1,1,Diseases of the circulatory system,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),1,1,1,1
1,1,Diseases of the circulatory system,Peripheral and visceral atherosclerosis,1,8,8,8
1,1,Diseases of the circulatory system,Phlebitis; thrombophlebitis and thromboembolism,1,1,1,1
1,1,Diseases of the circulatory system,Pulmonary heart disease,1,3,3,3
1,1,Diseases of the digestive system,,1,9,9,9
1,1,Diseases of the digestive system,Abdominal hernia,2,1,4,2
1,1,Diseases of the digestive system,Anal and rectal conditions,2,1,2,1
1,1,Diseases of the digestive system,Appendicitis and other appendiceal conditions,1,3,3,3
1,1,Diseases of the digestive system,Biliary tract disease,3,1,14,4.67
