Clinic,Date,Total
12 Lead Electrocardiograms,18-Jan,391
12 Lead Electrocardiograms,18-Feb,495
12 Lead Electrocardiograms,18-Mar,510
12 Lead Electrocardiograms,18-Apr,568
12 Lead Electrocardiograms,18-May,514
12 Lead Electrocardiograms,18-Jun,489
12 Lead Electrocardiograms,18-Jul,512
12 Lead Electrocardiograms,18-Aug,527
12 Lead Electrocardiograms,18-Sep,541
12 Lead Electrocardiograms,18-Oct,552
12 Lead Electrocardiograms,18-Nov,545
12 Lead Electrocardiograms,18-Dec,562
12 Lead Electrocardiograms,19-Jan,578
12 Lead Electrocardiograms,19-Feb,575
12 Lead Electrocardiograms,19-Mar,525
12 Lead Electrocardiograms,19-Apr,560
12 Lead Electrocardiograms,19-May,515
12 Lead Electrocardiograms,19-Jun,535
12 Lead Electrocardiograms,19-Jul,560
12 Lead Electrocardiograms,19-Aug,525
12 Lead Electrocardiograms,19-Sep,531
12 Lead Electrocardiograms,19-Oct,519
12 Lead Electrocardiograms,19-Nov,525
12 Lead Electrocardiograms,19-Dec,569
12 Lead Electrocardiograms,20-Jan,510
12 Lead Electrocardiograms,20-Feb,470
12 Lead Electrocardiograms,20-Mar,271
12 Lead Electrocardiograms,20-Apr,32
12 Lead Electrocardiograms,20-May,46
ACC,18-Jan,118
ACC,18-Feb,78
ACC,18-Mar,87
ACC,18-Apr,123
ACC,18-May,94
ACC,18-Jun,69
ACC,18-Jul,98
ACC,18-Aug,88
ACC,18-Sep,79
ACC,18-Oct,105
ACC,18-Nov,104
ACC,18-Dec,67
ACC,19-Jan,107
ACC,19-Feb,126
ACC,19-Mar,110
ACC,19-Apr,153
ACC,19-May,108
ACC,19-Jun,106
ACC,19-Jul,113
ACC,19-Aug,111
ACC,19-Sep,100
ACC,19-Oct,132
ACC,19-Nov,105
ACC,19-Dec,136
ACC,20-Jan,129
ACC,20-Feb,120
ACC,20-Mar,67
ACC,20-Apr,1
ACC,20-May,12
Acupuncture,18-Jan,54
Acupuncture,18-Feb,15
Acupuncture,18-Mar,75
Acupuncture,18-Apr,79
Acupuncture,18-May,99
Acupuncture,18-Jun,47
Acupuncture,18-Jul,78
Acupuncture,18-Aug,89
Acupuncture,18-Sep,71
Acupuncture,18-Oct,43
Acupuncture,18-Nov,46
Acupuncture,18-Dec,39
Acupuncture,19-Jan,24
Acupuncture,19-Feb,22
Acupuncture,19-Mar,62
Acupuncture,19-Apr,70
Acupuncture,19-May,60
Acupuncture,19-Jun,69
Acupuncture,19-Jul,100
Acupuncture,19-Aug,67
Acupuncture,19-Sep,70
Acupuncture,19-Oct,93
Acupuncture,19-Nov,64
Acupuncture,19-Dec,54
Acupuncture,20-Jan,36
Acupuncture,20-Feb,11
Acupuncture,20-Mar,24
Acupuncture,20-Apr,0
Acupuncture,20-May,0
Antenatal,18-Jan,187
Antenatal,18-Feb,165
Antenatal,18-Mar,202
Antenatal,18-Apr,151
Antenatal,18-May,203
Antenatal,18-Jun,208
Antenatal,18-Jul,121
Antenatal,18-Aug,163
Antenatal,18-Sep,152
Antenatal,18-Oct,180
Antenatal,18-Nov,153
Antenatal,18-Dec,0
Antenatal,19-Jan,160
Antenatal,19-Feb,159
Antenatal,19-Mar,175
Antenatal,19-Apr,152
Antenatal,19-May,198
Antenatal,19-Jun,171
Antenatal,19-Jul,200
Antenatal,19-Aug,214
Antenatal,19-Sep,145
Antenatal,19-Oct,177
Antenatal,19-Nov,169
Antenatal,19-Dec,139
Antenatal,20-Jan,157
Antenatal,20-Feb,128
Antenatal,20-Mar,126
Antenatal,20-Apr,99
Antenatal,20-May,107
Audiology,18-Jan,40
Audiology,18-Feb,25
Audiology,18-Mar,25
Audiology,18-Apr,42
Audiology,18-May,46
Audiology,18-Jun,39
Audiology,18-Jul,45
Audiology,18-Aug,35
Audiology,18-Sep,39
Audiology,18-Oct,29
Audiology,18-Nov,39
Audiology,18-Dec,32
Audiology,19-Jan,32
Audiology,19-Feb,37
Audiology,19-Mar,36
Audiology,19-Apr,43
Audiology,19-May,32
Audiology,19-Jun,32
Audiology,19-Jul,27
Audiology,19-Aug,29
Audiology,19-Sep,25
Audiology,19-Oct,26
Audiology,19-Nov,25
Audiology,19-Dec,24
Audiology,20-Jan,23
Audiology,20-Feb,32
Audiology,20-Mar,15
Audiology,20-Apr,0
Audiology,20-May,0
BP Monitoring,18-Jan,5
BP Monitoring,18-Feb,7
BP Monitoring,18-Mar,15
BP Monitoring,18-Apr,16
BP Monitoring,18-May,17
BP Monitoring,18-Jun,15
BP Monitoring,18-Jul,8
BP Monitoring,18-Aug,1
BP Monitoring,18-Sep,0
BP Monitoring,18-Oct,6
BP Monitoring,18-Nov,3
BP Monitoring,18-Dec,0
BP Monitoring,19-Jan,2
BP Monitoring,19-Feb,0
BP Monitoring,19-Mar,0
BP Monitoring,19-Apr,12
BP Monitoring,19-May,18
BP Monitoring,19-Jun,7
BP Monitoring,19-Jul,4
BP Monitoring,19-Aug,4
BP Monitoring,19-Sep,4
BP Monitoring,19-Oct,6
BP Monitoring,19-Nov,6
BP Monitoring,19-Dec,6
BP Monitoring,20-Jan,12
BP Monitoring,20-Feb,10
BP Monitoring,20-Mar,9
BP Monitoring,20-Apr,0
BP Monitoring,20-May,1
Bleeding Room,18-Jan,
Bleeding Room,18-Feb,
Bleeding Room,18-Mar,
Bleeding Room,18-Apr,
Bleeding Room,18-May,
Bleeding Room,18-Jun,
Bleeding Room,18-Jul,
Bleeding Room,18-Aug,
Bleeding Room,18-Sep,
Bleeding Room,18-Oct,
Bleeding Room,18-Nov,
Bleeding Room,18-Dec,
Bleeding Room,19-Jan,1078
Bleeding Room,19-Feb,1000
Bleeding Room,19-Mar,1026
Bleeding Room,19-Apr,947
Bleeding Room,19-May,1057
Bleeding Room,19-Jun,899
Bleeding Room,19-Jul,1022
Bleeding Room,19-Aug,916
Bleeding Room,19-Sep,965
Bleeding Room,19-Oct,1090
Bleeding Room,19-Nov,1084
Bleeding Room,19-Dec,892
Bleeding Room,20-Jan,1014
Bleeding Room,20-Feb,989
Bleeding Room,20-Mar,734
Bleeding Room,20-Apr,521
Bleeding Room,20-May,607
Breast clinic,18-Jan,0
Breast clinic,18-Feb,24
Breast clinic,18-Mar,19
Breast clinic,18-Apr,16
Breast clinic,18-May,20
Breast clinic,18-Jun,24
Breast clinic,18-Jul,20
Breast clinic,18-Aug,25
Breast clinic,18-Sep,23
Breast clinic,18-Oct,32
Breast clinic,18-Nov,29
Breast clinic,18-Dec,24
Breast clinic,19-Jan,26
Breast clinic,19-Feb,33
Breast clinic,19-Mar,36
Breast clinic,19-Apr,36
Breast clinic,19-May,35
Breast clinic,19-Jun,33
Breast clinic,19-Jul,29
Breast clinic,19-Aug,41
Breast clinic,19-Sep,29
Breast clinic,19-Oct,37
Breast clinic,19-Nov,35
Breast clinic,19-Dec,35
Breast clinic,20-Jan,43
Breast clinic,20-Feb,23
Breast clinic,20-Mar,23
Breast clinic,20-Apr,10
Breast clinic,20-May,15
Cardiology,18-Jan,91
Cardiology,18-Feb,65
Cardiology,18-Mar,63
Cardiology,18-Apr,81
Cardiology,18-May,77
Cardiology,18-Jun,98
Cardiology,18-Jul,136
Cardiology,18-Aug,88
Cardiology,18-Sep,123
Cardiology,18-Oct,96
Cardiology,18-Nov,120
Cardiology,18-Dec,91
Cardiology,19-Jan,31
Cardiology,19-Feb,37
Cardiology,19-Mar,37
Cardiology,19-Apr,34
Cardiology,19-May,16
Cardiology,19-Jun,25
Cardiology,19-Jul,53
Cardiology,19-Aug,34
Cardiology,19-Sep,14
Cardiology,19-Oct,31
Cardiology,19-Nov,31
Cardiology,19-Dec,29
Cardiology,20-Jan,33
Cardiology,20-Feb,32
Cardiology,20-Mar,19
Cardiology,20-Apr,0
Cardiology,20-May,7
Cervical Screening,18-Jan,22
Cervical Screening,18-Feb,19
Cervical Screening,18-Mar,13
Cervical Screening,18-Apr,16
Cervical Screening,18-May,21
Cervical Screening,18-Jun,22
Cervical Screening,18-Jul,34
Cervical Screening,18-Aug,23
Cervical Screening,18-Sep,19
Cervical Screening,18-Oct,22
Cervical Screening,18-Nov,25
Cervical Screening,18-Dec,16
Cervical Screening,19-Jan,21
Cervical Screening,19-Feb,11
Cervical Screening,19-Mar,27
Cervical Screening,19-Apr,24
Cervical Screening,19-May,25
Cervical Screening,19-Jun,32
Cervical Screening,19-Jul,9
Cervical Screening,19-Aug,19
Cervical Screening,19-Sep,19
Cervical Screening,19-Oct,24
Cervical Screening,19-Nov,19
Cervical Screening,19-Dec,18
Cervical Screening,20-Jan,8
Cervical Screening,20-Feb,20
Cervical Screening,20-Mar,5
Cervical Screening,20-Apr,0
Cervical Screening,20-May,0
Colon Rectal Screening,18-Jan,26
Colon Rectal Screening,18-Feb,42
Colon Rectal Screening,18-Mar,31
Colon Rectal Screening,18-Apr,37
Colon Rectal Screening,18-May,58
Colon Rectal Screening,18-Jun,40
Colon Rectal Screening,18-Jul,41
Colon Rectal Screening,18-Aug,47
Colon Rectal Screening,18-Sep,55
Colon Rectal Screening,18-Oct,60
Colon Rectal Screening,18-Nov,57
Colon Rectal Screening,18-Dec,23
Colon Rectal Screening,19-Jan,40
Colon Rectal Screening,19-Feb,34
Colon Rectal Screening,19-Mar,31
Colon Rectal Screening,19-Apr,30
Colon Rectal Screening,19-May,35
Colon Rectal Screening,19-Jun,24
Colon Rectal Screening,19-Jul,28
Colon Rectal Screening,19-Aug,38
Colon Rectal Screening,19-Sep,39
Colon Rectal Screening,19-Oct,58
Colon Rectal Screening,19-Nov,69
Colon Rectal Screening,19-Dec,36
Colon Rectal Screening,20-Jan,56
Colon Rectal Screening,20-Feb,23
Colon Rectal Screening,20-Mar,31
Colon Rectal Screening,20-Apr,0
Colon Rectal Screening,20-May,3
Dental,18-Jan,508
Dental,18-Feb,446
Dental,18-Mar,677
Dental,18-Apr,481
Dental,18-May,529
Dental,18-Jun,520
Dental,18-Jul,531
Dental,18-Aug,286
Dental,18-Sep,154
Dental,18-Oct,215
Dental,18-Nov,354
Dental,18-Dec,81
Dental,19-Jan,90
Dental,19-Feb,105
Dental,19-Mar,128
Dental,19-Apr,514
Dental,19-May,501
Dental,19-Jun,442
Dental,19-Jul,514
Dental,19-Aug,492
Dental,19-Sep,424
Dental,19-Oct,507
Dental,19-Nov,463
Dental,19-Dec,355
Dental,20-Jan,479
Dental,20-Feb,349
Dental,20-Mar,177
Dental,20-Apr,28
Dental,20-May,60
Dermatology,18-Jan,84
Dermatology,18-Feb,116
Dermatology,18-Mar,127
Dermatology,18-Apr,119
Dermatology,18-May,104
Dermatology,18-Jun,147
Dermatology,18-Jul,140
Dermatology,18-Aug,108
Dermatology,18-Sep,107
Dermatology,18-Oct,103
Dermatology,18-Nov,141
Dermatology,18-Dec,98
Dermatology,19-Jan,91
Dermatology,19-Feb,119
Dermatology,19-Mar,118
Dermatology,19-Apr,110
Dermatology,19-May,115
Dermatology,19-Jun,94
Dermatology,19-Jul,126
Dermatology,19-Aug,111
Dermatology,19-Sep,95
Dermatology,19-Oct,124
Dermatology,19-Nov,118
Dermatology,19-Dec,80
Dermatology,20-Jan,128
Dermatology,20-Feb,142
Dermatology,20-Mar,79
Dermatology,20-Apr,5
Dermatology,20-May,24
Detox,18-Jan,611
Detox,18-Feb,466
Detox,18-Mar,506
Detox,18-Apr,450
Detox,18-May,503
Detox,18-Jun,443
Detox,18-Jul,719
Detox,18-Aug,421
Detox,18-Sep,334
Detox,18-Oct,347
Detox,18-Nov,420
Detox,18-Dec,396
Detox,19-Jan,387
Detox,19-Feb,350
Detox,19-Mar,367
Detox,19-Apr,368
Detox,19-May,431
Detox,19-Jun,446
Detox,19-Jul,432
Detox,19-Aug,436
Detox,19-Sep,400
Detox,19-Oct,39
Detox,19-Nov,562
Detox,19-Dec,605
Detox,20-Jan,529
Detox,20-Feb,493
Detox,20-Mar,520
Detox,20-Apr,360
Detox,20-May,349
Diabetes Education Services.,18-Jan,0
Diabetes Education Services.,18-Feb,0
Diabetes Education Services.,18-Mar,0
Diabetes Education Services.,18-Apr,0
Diabetes Education Services.,18-May,0
Diabetes Education Services.,18-Jun,0
Diabetes Education Services.,18-Jul,0
Diabetes Education Services.,18-Aug,0
Diabetes Education Services.,18-Sep,0
Diabetes Education Services.,18-Oct,0
Diabetes Education Services.,18-Nov,0
Diabetes Education Services.,18-Dec,0
Diabetes Education Services.,19-Jan,0
Diabetes Education Services.,19-Feb,0
Diabetes Education Services.,19-Mar,0
Diabetes Education Services.,19-Apr,0
Diabetes Education Services.,19-May,16
Diabetes Education Services.,19-Jun,10
Diabetes Education Services.,19-Jul,0
Diabetes Education Services.,19-Aug,0
Diabetes Education Services.,19-Sep,0
Diabetes Education Services.,19-Oct,0
Diabetes Education Services.,19-Nov,0
Diabetes Education Services.,19-Dec,0
Diabetes Education Services.,20-Jan,0
Diabetes Education Services.,20-Feb,0
Diabetes Education Services.,20-Mar,0
Diabetes Education Services.,20-Apr,0
Diabetes Education Services.,20-May,1
Diabetology,18-Jan,134
Diabetology,18-Feb,103
Diabetology,18-Mar,141
Diabetology,18-Apr,125
Diabetology,18-May,121
Diabetology,18-Jun,121
Diabetology,18-Jul,126
Diabetology,18-Aug,116
Diabetology,18-Sep,107
Diabetology,18-Oct,108
Diabetology,18-Nov,115
Diabetology,18-Dec,70
Diabetology,19-Jan,116
Diabetology,19-Feb,122
Diabetology,19-Mar,80
Diabetology,19-Apr,77
Diabetology,19-May,115
Diabetology,19-Jun,83
Diabetology,19-Jul,99
Diabetology,19-Aug,85
Diabetology,19-Sep,72
