AdmYear,AdmQuarter,AdmMonth,Date,PrimaryCategory,CCS.CATEGORY.DESCRIPTION,totalCases
2018,1,1,2018-01-01,Certain infectious and parasitic diseases,Bacterial infection; unspecified site,1
2018,1,1,2018-01-01,Certain infectious and parasitic diseases,Intestinal infection,6
2018,1,1,2018-01-01,Certain infectious and parasitic diseases,Septicemia (except in labor),3
2018,1,1,2018-01-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,3
2018,1,1,2018-01-01,Diseases of the circulatory system,Acute cerebrovascular disease,3
2018,1,1,2018-01-01,Diseases of the circulatory system,Aortic and peripheral arterial embolism or thrombosis,1
2018,1,1,2018-01-01,Diseases of the circulatory system,Cardiac dysrhythmias,1
2018,1,1,2018-01-01,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,5
2018,1,1,2018-01-01,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,1
2018,1,1,2018-01-01,Diseases of the circulatory system,Essential hypertension,1
2018,1,1,2018-01-01,Diseases of the circulatory system,Hypertension with complications and secondary hypertension,1
2018,1,1,2018-01-01,Diseases of the circulatory system,Lymphadenitis,1
2018,1,1,2018-01-01,Diseases of the circulatory system,Other circulatory disease,3
2018,1,1,2018-01-01,Diseases of the circulatory system,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),1
2018,1,1,2018-01-01,Diseases of the circulatory system,Phlebitis; thrombophlebitis and thromboembolism,1
2018,1,1,2018-01-01,Diseases of the circulatory system,Pulmonary heart disease,2
2018,1,1,2018-01-01,Diseases of the digestive system,Abdominal hernia,1
2018,1,1,2018-01-01,Diseases of the digestive system,Anal and rectal conditions,5
2018,1,1,2018-01-01,Diseases of the digestive system,Appendicitis and other appendiceal conditions,1
2018,1,1,2018-01-01,Diseases of the digestive system,Biliary tract disease,3
2018,1,1,2018-01-01,Diseases of the digestive system,Diseases of mouth; excluding dental,1
2018,1,1,2018-01-01,Diseases of the digestive system,Diverticulosis and diverticulitis,3
2018,1,1,2018-01-01,Diseases of the digestive system,Esophageal disorders,1
2018,1,1,2018-01-01,Diseases of the digestive system,Gastritis and duodenitis,5
2018,1,1,2018-01-01,Diseases of the digestive system,Gastrointestinal hemorrhage,1
2018,1,1,2018-01-01,Diseases of the digestive system,Intestinal obstruction without hernia,3
2018,1,1,2018-01-01,Diseases of the digestive system,Noninfectious gastroenteritis,3
2018,1,1,2018-01-01,Diseases of the digestive system,Pancreatic disorders (not diabetes),1
2018,1,1,2018-01-01,Diseases of the digestive system,Peripheral and visceral atherosclerosis,1
2018,1,1,2018-01-01,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,4
2018,1,1,2018-01-01,Diseases of the ear and mastoid process,Other ear and sense organ disorders,1
2018,1,1,2018-01-01,Diseases of the eye and adnexa,Blindness and vision defects,1
2018,1,1,2018-01-01,Diseases of the genitourinary system,Calculus of urinary tract,4
2018,1,1,2018-01-01,Diseases of the genitourinary system,Endometriosis,1
2018,1,1,2018-01-01,Diseases of the genitourinary system,Ovarian cyst,1
2018,1,1,2018-01-01,Diseases of the genitourinary system,Urinary tract infections,1
2018,1,1,2018-01-01,Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease,2
2018,1,1,2018-01-01,Diseases of the musculoskeletal system and connective tissue,Other non-traumatic joint disorders,1
2018,1,1,2018-01-01,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,3
2018,1,1,2018-01-01,Diseases of the nervous system,Acute cerebrovascular disease,1
2018,1,1,2018-01-01,Diseases of the nervous system,Epilepsy; convulsions,1
2018,1,1,2018-01-01,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,1
2018,1,1,2018-01-01,Diseases of the respiratory system,Acute and chronic tonsillitis,1
2018,1,1,2018-01-01,Diseases of the respiratory system,Acute bronchitis,5
2018,1,1,2018-01-01,Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus,1
2018,1,1,2018-01-01,Diseases of the respiratory system,Asthma,2
2018,1,1,2018-01-01,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,3
2018,1,1,2018-01-01,Diseases of the respiratory system,Influenza,2
2018,1,1,2018-01-01,Diseases of the respiratory system,Other upper respiratory infections,2
2018,1,1,2018-01-01,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,1
2018,1,1,2018-01-01,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),6
2018,1,1,2018-01-01,Diseases of the respiratory system,Respiratory failure; insufficiency; arrest (adult),1
2018,1,1,2018-01-01,Diseases of the skin and subcutaneous tissue,Allergic reactions,1
2018,1,1,2018-01-01,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,3
2018,1,1,2018-01-01,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,1
2018,1,1,2018-01-01,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,2
2018,1,1,2018-01-01,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,2
2018,1,1,2018-01-01,"Endocrine, nutritional and metabolic diseases",Other nutritional; endocrine; and metabolic disorders,1
2018,1,1,2018-01-01,"Endocrine, nutritional and metabolic diseases",Thyroid disorders,1
2018,1,1,2018-01-01,External causes of morbidity and mortality,,8
2018,1,1,2018-01-01,Factors influencing health status and contact with health services,Immunizations and screening for infectious disease,1
2018,1,1,2018-01-01,Factors influencing health status and contact with health services,Other pregnancy and delivery including normal,1
2018,1,1,2018-01-01,Factors influencing health status and contact with health services,Residual codes; unclassified,2
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Complications of surgical procedures or medical care,1
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,6
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,7
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),7
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,1
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Intracranial injury,1
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,1
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Other fractures,1
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,1
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Skull and face fractures,1
2018,1,1,2018-01-01,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,5
2018,1,1,2018-01-01,Mental and behavioural disorders,,3
2018,1,1,2018-01-01,Neoplasms,Cancer of kidney and renal pelvis,1
2018,1,1,2018-01-01,Neoplasms,Cancer of prostate,1
2018,1,1,2018-01-01,Neoplasms,Cancer of uterus,1
2018,1,1,2018-01-01,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,2
2018,1,1,2018-01-01,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,4
2018,1,1,2018-01-01,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,4
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,15
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,1
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Coagulation and hemorrhagic disorders,1
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,1
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,5
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Headache; including migraine,1
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Malaise and fatigue,5
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,2
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,22
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,8
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nervous system disorders,3
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nutritional; endocrine; and metabolic disorders,1
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Pleurisy; pneumothorax; pulmonary collapse,1
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,3
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Septicemia (except in labor),1
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,10
2018,1,1,2018-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Thyroid disorders,2
2018,1,2,2018-02-01,Certain infectious and parasitic diseases,Bacterial infection; unspecified site,3
2018,1,2,2018-02-01,Certain infectious and parasitic diseases,Intestinal infection,4
2018,1,2,2018-02-01,Certain infectious and parasitic diseases,Septicemia (except in labor),4
2018,1,2,2018-02-01,Certain infectious and parasitic diseases,Viral infection,2
2018,1,2,2018-02-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation and hemorrhagic disorders,1
2018,1,2,2018-02-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,2
2018,1,2,2018-02-01,Diseases of the circulatory system,Acute cerebrovascular disease,3
2018,1,2,2018-02-01,Diseases of the circulatory system,Acute myocardial infarction,1
2018,1,2,2018-02-01,Diseases of the circulatory system,Cardiac dysrhythmias,2
2018,1,2,2018-02-01,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,13
2018,1,2,2018-02-01,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,1
2018,1,2,2018-02-01,Diseases of the circulatory system,Essential hypertension,1
2018,1,2,2018-02-01,Diseases of the circulatory system,Heart valve disorders,1
2018,1,2,2018-02-01,Diseases of the circulatory system,Lymphadenitis,1
2018,1,2,2018-02-01,Diseases of the circulatory system,Other diseases of veins and lymphatics,1
2018,1,2,2018-02-01,Diseases of the circulatory system,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),1
2018,1,2,2018-02-01,Diseases of the digestive system,Abdominal hernia,2
2018,1,2,2018-02-01,Diseases of the digestive system,Anal and rectal conditions,2
2018,1,2,2018-02-01,Diseases of the digestive system,Biliary tract disease,3
2018,1,2,2018-02-01,Diseases of the digestive system,Complications of surgical procedures or medical care,1
2018,1,2,2018-02-01,Diseases of the digestive system,Diseases of mouth; excluding dental,1
2018,1,2,2018-02-01,Diseases of the digestive system,Disorders of teeth and jaw,1
2018,1,2,2018-02-01,Diseases of the digestive system,Diverticulosis and diverticulitis,2
2018,1,2,2018-02-01,Diseases of the digestive system,Esophageal disorders,2
2018,1,2,2018-02-01,Diseases of the digestive system,Gastritis and duodenitis,3
2018,1,2,2018-02-01,Diseases of the digestive system,Gastrointestinal hemorrhage,1
2018,1,2,2018-02-01,Diseases of the digestive system,Other liver diseases,1
2018,1,2,2018-02-01,Diseases of the digestive system,Pancreatic disorders (not diabetes),2
2018,1,2,2018-02-01,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,1
2018,1,2,2018-02-01,Diseases of the genitourinary system,Calculus of urinary tract,3
2018,1,2,2018-02-01,Diseases of the genitourinary system,Female infertility,1
2018,1,2,2018-02-01,Diseases of the genitourinary system,Menstrual disorders,2
2018,1,2,2018-02-01,Diseases of the genitourinary system,Other male genital disorders,3
2018,1,2,2018-02-01,Diseases of the genitourinary system,Urinary tract infections,4
2018,1,2,2018-02-01,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,3
2018,1,2,2018-02-01,Diseases of the nervous system,Acute cerebrovascular disease,1
2018,1,2,2018-02-01,Diseases of the nervous system,Epilepsy; convulsions,3
2018,1,2,2018-02-01,Diseases of the nervous system,Paralysis,1
2018,1,2,2018-02-01,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,2
2018,1,2,2018-02-01,Diseases of the respiratory system,Acute and chronic tonsillitis,3
2018,1,2,2018-02-01,Diseases of the respiratory system,Acute bronchitis,5
2018,1,2,2018-02-01,Diseases of the respiratory system,Asthma,3
2018,1,2,2018-02-01,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,5
2018,1,2,2018-02-01,Diseases of the respiratory system,Other lower respiratory disease,1
2018,1,2,2018-02-01,Diseases of the respiratory system,Other upper respiratory infections,5
2018,1,2,2018-02-01,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,1
2018,1,2,2018-02-01,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),6
2018,1,2,2018-02-01,Diseases of the respiratory system,Respiratory failure; insufficiency; arrest (adult),1
2018,1,2,2018-02-01,Diseases of the skin and subcutaneous tissue,Chronic ulcer of skin,2
2018,1,2,2018-02-01,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,5
2018,1,2,2018-02-01,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,4
