AdmYear,AdmMonth,PrimaryDiagnosis,totalCases
2018,November,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",11
2018,December,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",11
2018,November,Unspecified acute lower respiratory infection (chest infection / LRTI),10
2018,December,"Chest pain, unspecified",10
2018,November,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",7
2018,December,Acute bronchiolitis,7
2018,December,Unspecified acute lower respiratory infection (chest infection / LRTI),7
2018,November,Other and unspecified abdominal pain,6
2018,November,Syncope and collapse,6
2018,December,Gastroenteritis and colitis of unspecified origin,6
2018,December,"Pneumonia, unspecified",6
2018,November,Unspecified renal colic,5
2018,December,"Anaemia, unspecified",5
2018,December,Atrial fibrillation and flutter (AF),5
2018,November,"Chest pain, unspecified",4
2018,November,Gastroenteritis and colitis of unspecified origin,4
2018,December,"Acute upper respiratory infection, unspecified (URTI)",4
2018,December,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified (COAD)",4
2018,December,Constipation,4
2018,December,Low back pain,4
2018,December,Other and unspecified gastroenteritis and colitis of infectious origin,4
2018,December,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",4
2018,November,Atrial fibrillation and flutter (AF),3
2018,November,"Chronic obstructive pulmonary disease, unspecified (COAD)",3
2018,November,Constipation,3
2018,November,Diverticular disease of intestine,3
2018,November,"Fracture of femur, part unspecified",3
2018,November,ST elevation (STEMI) myocardial infarction involving other sites,3
2018,December,Acute tonsillitis,3
2018,December,Asthma,3
2018,December,Congestive heart failure,3
2018,December,"Fracture of femur, part unspecified",3
2018,December,Hyperemesis gravidarum with metabolic disturbance,3
2018,December,Nausea and vomiting,3
2018,December,Other chest pain,3
2018,December,"Pain, unspecified",3
2018,April,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",2
2018,November,Acute bronchitis,2
2018,November,"Acute tonsillitis, unspecified",2
2018,November,Adjustment and management of other implanted devices [PEG] (change / dislodged / removal),2
2018,November,"Angina pectoris, unspecified",2
2018,November,"Cardiac arrest, unspecified",2
2018,November,Cellulitis,2
2018,November,Headache,2
2018,November,Hypo-osmolality and hyponatraemia,2
2018,November,"Intracerebral haemorrhage, unspecified",2
2018,November,Labour and delivery complicated by fetal stress [distress],2
2018,November,Low back pain,2
2018,November,Nausea and vomiting,2
2018,November,Non-insulin-dependent diabetes mellitus (NIDDM): Without complications,2
2018,November,Pain localized to other parts of lower abdomen,2
2018,November,"Pain, unspecified",2
2018,November,Person awaiting admission to adequate facility elsewhere (social case),2
2018,November,Unknown and unspecified causes of morbidity (unknown diagnosis),2
2018,November,Unspecified fall,2
2018,December,"Disorientation, unspecified",2
2018,December,Dyspnoea (SOB),2
2018,December,Fracture of femur,2
2018,December,Headache,2
2018,December,Intestinal adhesions [bands] with obstruction,2
2018,December,Moderate alcohol intoxication,2
2018,December,Myalgia (muscle / musculoskeletal pain),2
2018,December,Phlebitis and thrombophlebitis of other deep vessels of lower extremities (DVT),2
2018,December,"Transient cerebral ischaemic attack, unspecified (TIA)",2
2018,December,Unspecified haematuria,2
2018,December,Unstable angina,2
2018,December,Volume depletion,2
2018,January,"Viral pneumonia, unspecified",1
2018,April,"Fracture of femur, part unspecified",1
2018,April,"Stroke, not specified as haemorrhage or infarction (CVA)",1
2018,April,Unknown and unspecified causes of morbidity (unknown diagnosis),1
2018,May,"Dementia in Alzheimer disease, unspecified",1
2018,May,Injury of kidney,1
2018,May,"Neonatal jaundice, unspecified",1
2018,June,"Anaemia, unspecified",1
2018,June,"Disorientation, unspecified",1
2018,June,Other fall on same level,1
2018,August,Extracorporeal dialysis,1
2018,August,Other and unspecified abdominal pain,1
2018,August,"Viral pneumonia, unspecified",1
2018,September,Extracorporeal dialysis,1
2018,September,Infection and inflammatory reaction due to internal joint prosthesis,1
2018,September,Malaise and fatigue,1
2018,September,Unspecified acute lower respiratory infection (chest infection / LRTI),1
2018,September,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",1
2018,October,Abscess of liver,1
2018,October,"Anaemia, unspecified",1
2018,October,Duodenal ulcer,1
2018,October,Fracture of lumbar vertebra,1
2018,October,Malignant neoplasm (Cancer / Carcinoma) of other and ill-defined sites: Thorax,1
2018,October,Moderate alcohol intoxication,1
2018,October,Nausea and vomiting,1
2018,October,"Peripheral vascular disease, unspecified",1
2018,October,Person awaiting admission to adequate facility elsewhere (social case),1
2018,October,"Pleural effusion, not elsewhere classified",1
2018,October,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",1
2018,October,"Tendency to fall, not elsewhere classified",1
2018,October,Unspecified acute lower respiratory infection (chest infection / LRTI),1
2018,October,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",1
2018,November,Abdominal and pelvic pain,1
2018,November,Abscess of lung with pneumonia,1
2018,November,Acute bronchiolitis,1
2018,November,Acute cholecystitis,1
2018,November,"Acute pancreatitis, unspecified",1
2018,November,Acute pharyngitis,1
2018,November,"Acute renal failure, unspecified",1
2018,November,"Acute upper respiratory infection, unspecified (URTI)",1
2018,November,Agranulocytosis,1
2018,November,"Anaemia, unspecified",1
2018,November,"Bradycardia, unspecified",1
2018,November,"Bronchopneumonia, unspecified",1
2018,November,Calculus of gallbladder with acute cholecystitis,1
2018,November,Calculus of gallbladder without cholecystitis,1
2018,November,Cardiogenic shock,1
2018,November,Cerebellar stroke syndrome,1
2018,November,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified (COAD)",1
2018,November,Chronic obstructive pulmonary disease with acute lower respiratory infection (COAD),1
2018,November,"Chronic ulcer of skin, not elsewhere classified",1
2018,November,Congestive heart failure,1
2018,November,Diverticular disease of large intestine without perforation or abscess,1
2018,November,Dizziness and giddiness,1
2018,November,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,1
2018,November,Dysphagia,1
2018,November,"Encephalopathy, unspecified",1
2018,November,"Enlarged lymph nodes, unspecified",1
2018,November,Epistaxis,1
2018,November,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,1
2018,November,Essential (primary) hypertension (HT),1
2018,November,Extracorporeal dialysis,1
2018,November,"Fall from, out of or through building or structure",1
2018,November,Fall involving bed,1
2018,November,Fall on and from ladder,1
2018,November,False labour at or after 37 completed weeks of gestation,1
2018,November,Fracture of fibula alone,1
2018,November,Fracture of lateral malleolus,1
2018,November,Fracture of lower end of femur,1
2018,November,Fracture of shafts of both ulna and radius,1
2018,November,Fractures of other parts of lower leg,1
2018,November,"Functional intestinal disorder, unspecified",1
2018,November,"Gastritis, unspecified",1
2018,November,Gestational [pregnancy-induced] hypertension without significant proteinuria,1
2018,November,Gout,1
2018,November,"Gout, unspecified",1
2018,November,"Heart failure, unspecified",1
2018,November,Hyperemesis gravidarum with metabolic disturbance,1
2018,November,Injury of kidney,1
2018,November,Malaise and fatigue,1
2018,November,Malignant neoplasm (Cancer / Carcinoma) of pancreas,1
2018,November,"Maternal care for fetal problem, unspecified",1
