AdmYear,AdmMonth,totalCases,Date
2018,January,79,2018-01-01
2018,February,163,2018-02-01
2018,March,132,2018-03-01
2018,April,91,2018-04-01
2018,May,96,2018-05-01
2018,June,61,2018-06-01
2018,July,59,2018-07-01
2018,August,66,2018-08-01
2018,September,48,2018-09-01
2018,October,56,2018-10-01
2018,November,40,2018-11-01
2018,December,50,2018-12-01
2019,January,42,2019-01-01
2019,February,43,2019-02-01
2019,March,40,2019-03-01
2019,April,47,2019-04-01
2019,May,59,2019-05-01
2019,June,43,2019-06-01
2019,July,64,2019-07-01
2019,August,63,2019-08-01
2019,September,50,2019-09-01
2019,October,58,2019-10-01
2019,November,53,2019-11-01
2019,December,54,2019-12-01
2020,January,40,2020-01-01
2020,February,54,2020-02-01
2020,March,45,2020-03-01
2020,April,31,2020-04-01
2020,May,31,2020-05-01
2020,June,46,2020-06-01
