AdmYear,AdmMonth,totalCases
2018,January,329
2018,February,267
2018,March,332
2018,April,278
2018,May,286
2018,June,241
2018,July,308
2018,August,324
2018,September,330
2018,October,300
2018,November,304
2018,December,247
2019,January,267
2019,February,271
2019,March,316
2019,April,269
2019,May,273
2019,June,324
2019,July,359
2019,August,339
2019,September,285
2019,October,313
2019,November,300
2019,December,319
2020,January,362
2020,February,326
2020,March,209
2020,April,155
2020,May,174
2020,June,14
