PrimaryDiagnosis,totalCases,modeOfLOS,totalLOS,ALOS
Abdominal hernia,4,2,6,1.5
Abdominal pain,30,1,44,1.47
Acquired foot deformities,1,7,7,7
Acute and chronic tonsillitis,2,3,6,3
Acute and unspecified renal failure,7,3,69,9.86
Acute bronchitis,31,5,181,5.84
Acute cerebrovascular disease,8,1,82,10.25
Acute myocardial infarction,8,0,11,1.38
Anal and rectal conditions,17,1,65,3.82
Aortic; peripheral; and visceral artery aneurysms,1,1,1,1
Appendicitis and other appendiceal conditions,4,1,13,3.25
Aspiration pneumonitis; food/vomitus,2,4,13,6.5
Asthma,4,0,21,5.25
Bacterial infection; unspecified site,4,3,14,3.5
Benign neoplasm of uterus,5,2,14,2.8
Biliary tract disease,13,1,67,5.15
Burns,1,3,3,3
Calculus of urinary tract,7,1,12,1.71
Cancer of bladder,4,1,10,2.5
Cancer of brain and nervous system,1,1,1,1
Cancer of breast,2,2,3,1.5
Cancer of bronchus; lung,2,2,6,3
Cancer of other GI organs; peritoneum,2,7,11,5.5
Cancer of pancreas,4,4,29,7.25
Cardiac dysrhythmias,26,1,48,1.85
Chronic kidney disease,4,29,82,20.5
Chronic obstructive pulmonary disease and bronchiectasis,11,6,57,5.18
Chronic ulcer of skin,1,1,1,1
Coagulation and hemorrhagic disorders,2,0,4,2
Coma; stupor; and brain damage,1,1,1,1
Complication of device; implant or graft,2,7,7,3.5
Complications of surgical procedures or medical care,2,3,5,2.5
Conditions associated with dizziness or vertigo,15,1,44,2.93
Conduction disorders,1,0,0,0
Congestive heart failure; nonhypertensive,28,4,149,5.32
Coronary atherosclerosis and other heart disease,6,1,4,0.67
Crushing injury or internal injury,19,1,39,2.05
Deficiency and other anemia,11,1,43,3.91
Diabetes mellitus without complication,4,3,19,4.75
Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,2,2,5,2.5
Diseases of white blood cells,1,5,5,5
Diverticulosis and diverticulitis,4,2,10,2.5
Early or threatened labor,1,0,0,0
Ectopic pregnancy,1,0,0,0
Endometriosis,1,0,0,0
Epilepsy; convulsions,12,1,14,1.17
Esophageal disorders,5,1,4,0.8
Essential hypertension,4,1,17,4.25
Fetal distress and abnormal forces of labor,6,4,22,3.67
Fetopelvic disproportion; obstruction,1,2,2,2
Fever of unknown origin,10,1,26,2.6
Fluid and electrolyte disorders,6,3,38,6.33
Forceps delivery,3,2,9,3
Fracture of lower limb,6,3,37,6.17
Fracture of neck of femur (hip),9,9,116,12.89
Fracture of upper limb,8,1,35,4.38
Gastritis and duodenitis,34,1,40,1.18
